Timestamp,Price,Volume,Sell_Buy
2024-01-01 00:02:22+01:00,27.25,1125.0,SELL
2024-01-01 00:03:08+01:00,55.96,882.0,sell
2024-01-01 00:03:48+01:00,91.0,504.0,buy
2024-01-01 00:03:52+01:00,23.57,979.0,buy
2024-01-01 00:21:59+01:00,50.29,1934.0,sell
2024-01-01 00:25:10+01:00,66.5,1614.0,buy
2024-01-01 00:32:00+01:00,68.06,1310.0,SELL
2024-01-01 00:32:47+01:00,77.43,225.0,buy
2024-01-01 00:36:26+01:00,79.99,1266.0,sell
2024-01-01 00:40:09+01:00,61.12,712.0,Sell
2024-01-01 00:00:17+00:00,84.33,1978.0,Sell
2024-01-01 00:02:12+00:00,77.74,539.0,buy
2024-01-01 00:02:44+00:00,67.88,1598.0,SELL
2024-01-01 00:05:40+00:00,,566.0,sell
2024-01-01 00:08:38+00:00,28.11,1718.0,Buy
2024-01-01 00:08:57+00:00,52.63,,BUY
2024-01-01 00:10:11+00:00,74.24,74.0,Sell
2024-01-01 00:10:55+00:00,58.81,,SELL
2024-01-01 00:11:04+00:00,53.61,1409.0,buy
2024-01-01 01:11:08+01:00,50.65,154.0,SELL
2024-01-01 00:13:12+00:00,64.3,85.0,buy
2024-01-01 00:13:56+00:00,76.83,100.0,sell
2024-01-01 00:16:02+00:00,85.87,891.0,BUY
2024-01-01 00:16:22+00:00,80.43,1872.0,SELL
2024-01-01 00:17:08+00:00,49.85,1393.0,Sell
2024-01-01 00:18:15+00:00,78.9,27761.0,Buy
2024-01-01 01:20:42+01:00,28.87,1621.0,Buy
2024-01-01 00:22:36+00:00,93.75,1468.0,Sell
2024-01-01 00:23:37+00:00,50.54,65.0,BUY
2024-01-01 00:26:41+00:00,57.88,1380.0,buy
2024-01-01 00:27:19+00:00,54.17,1075.0,SELL
2024-01-01 00:32:04+00:00,32.77,1472.0,sell
2024-01-01 00:32:50+00:00,65.56,194.0,sell
2024-01-01 00:40:11+00:00,88.57,1238.0,buy
2024-01-01 01:40:49+01:00,68.87,1949.0,buy
2024-01-01 00:40:50+00:00,86.72,149.0,BUY
2024-01-01 00:41:07+00:00,55.76,1261.0,BUY
2024-01-01 00:43:26+00:00,62.29,783.0,Sell
2024-01-01 00:43:40+00:00,59.93,58.0,Sell
2024-01-01 00:44:33+00:00,32.4,1537.0,BUY
2024-01-01 01:45:32+01:00,88.27,1143.0,Sell
2024-01-01 00:46:03+00:00,63.08,1278.0,Buy
2024-01-01 00:48:43+00:00,79.66,1301.0,sell
2024-01-01 01:49:55+01:00,73.25,36338.0,BUY
2024-01-01 00:51:17+00:00,68.31,1275.0,BUY
2024-01-01 00:51:34+00:00,55.55,1046.0,BUY
2024-01-01 00:52:18+00:00,76.23,256.0,buy
2024-01-01 00:52:34+00:00,75.68,1873.0,Sell
2024-01-01 00:56:54+00:00,62.51,494.0,buy
2024-01-01 01:58:41+01:00,77.69,1512.0,sell
2024-01-01 00:58:50+00:00,92.32,1188.0,BUY
2024-01-01 02:01:02+01:00,28.35,1331.0,Sell
2024-01-01 01:01:12+00:00,50.33,754.0,buy
2024-01-01 01:02:42+00:00,24.1,1595.0,SELL
2024-01-01 01:02:45+00:00,56.03,1423.0,Buy
2024-01-01 01:02:45+00:00,67.08,1454.0,sell
2024-01-01 01:04:31+00:00,36.96,1152.0,buy
2024-01-01 01:05:27+00:00,89.77,693.0,SELL
2024-01-01 01:07:43+00:00,84.94,,BUY
2024-01-01 01:14:06+00:00,87.0,1405.0,Buy
